Bin	Base	mean_damage	Study	primary_cluster	SampleID	library_treatment	library_polymerase
ERS4042423.bin.r.17	5	0.00413019891500904	Fagernas2020	1187	ERS4042423	Half	PfuTurbo Cx Hotstart DNA
ERS4042427.bin.r.9	0	0.0467843137254902	Fagernas2020	1187	ERS4042427	Half	PfuTurbo Cx Hotstart DNA
ERS4042427.bin.r.9	1	0.0102679738562091	Fagernas2020	1187	ERS4042427	Half	PfuTurbo Cx Hotstart DNA
ERS4042427.bin.r.9	2	0.00662091503267974	Fagernas2020	1187	ERS4042427	Half	PfuTurbo Cx Hotstart DNA
ERS4042427.bin.r.9	3	0.0062483660130719	Fagernas2020	1187	ERS4042427	Half	PfuTurbo Cx Hotstart DNA
ERS4042427.bin.r.9	4	0.00434640522875817	Fagernas2020	1187	ERS4042427	Half	PfuTurbo Cx Hotstart DNA
ERS4042427.bin.r.9	5	0.00398039215686275	Fagernas2020	1187	ERS4042427	Half	PfuTurbo Cx Hotstart DNA
ERS5113011_24.0.refbinned	0	0.0435819209039548	Fotakis2020	1187	ERS5113011	None	KAPA HiFi Uracil+
ERS5113011_24.0.refbinned	1	0.0293399246704331	Fotakis2020	1187	ERS5113011	None	KAPA HiFi Uracil+
ERS5113011_24.0.refbinned	2	0.024225988700565	Fotakis2020	1187	ERS5113011	None	KAPA HiFi Uracil+
ERS5113011_24.0.refbinned	3	0.0256892655367232	Fotakis2020	1187	ERS5113011	None	KAPA HiFi Uracil+
ERS5113011_24.0.refbinned	4	0.0226224105461394	Fotakis2020	1187	ERS5113011	None	KAPA HiFi Uracil+
ERS5113011_24.0.refbinned	5	0.0216271186440678	Fotakis2020	1187	ERS5113011	None	KAPA HiFi Uracil+
ERS6205384_24.0.refbinned	0	0.151672981878089	Granehall2021	1187	ERS6205384	None	Phusion Hot Start High-Fidelity DNA
ERS6205384_24.0.refbinned	1	0.0988723228995058	Granehall2021	1187	ERS6205384	None	Phusion Hot Start High-Fidelity DNA
ERS6205384_24.0.refbinned	2	0.0633459637561779	Granehall2021	1187	ERS6205384	None	Phusion Hot Start High-Fidelity DNA
ERS6205384_24.0.refbinned	3	0.0475288303130148	Granehall2021	1187	ERS6205384	None	Phusion Hot Start High-Fidelity DNA
ERS6205384_24.0.refbinned	4	0.0385535420098847	Granehall2021	1187	ERS6205384	None	Phusion Hot Start High-Fidelity DNA
ERS6205384_24.0.refbinned	5	0.030497528830313	Granehall2021	1187	ERS6205384	None	Phusion Hot Start High-Fidelity DNA
ERS6205385.bin.r.4	0	0.0783788546255507	Granehall2021	1190	ERS6205385	None	Phusion Hot Start High-Fidelity DNA
ERS6205385.bin.r.4	1	0.0537929515418502	Granehall2021	1190	ERS6205385	None	Phusion Hot Start High-Fidelity DNA
ERS6205385.bin.r.4	2	0.0329118942731278	Granehall2021	1190	ERS6205385	None	Phusion Hot Start High-Fidelity DNA
ERS6205385.bin.r.4	3	0.0295286343612335	Granehall2021	1190	ERS6205385	None	Phusion Hot Start High-Fidelity DNA
ERS6205385.bin.r.4	4	0.0241101321585903	Granehall2021	1190	ERS6205385	None	Phusion Hot Start High-Fidelity DNA
ERS6205385.bin.r.4	5	0.0202775330396476	Granehall2021	1190	ERS6205385	None	Phusion Hot Start High-Fidelity DNA
ERS6205387.bin.r.6	0	0.136155555555556	Granehall2021	1187	ERS6205387	None	Phusion Hot Start High-Fidelity DNA
ERS6205387.bin.r.6	1	0.0983259259259259	Granehall2021	1187	ERS6205387	None	Phusion Hot Start High-Fidelity DNA
ERS6205387.bin.r.6	2	0.0641259259259259	Granehall2021	1187	ERS6205387	None	Phusion Hot Start High-Fidelity DNA
ERS6205387.bin.r.6	3	0.0493851851851852	Granehall2021	1187	ERS6205387	None	Phusion Hot Start High-Fidelity DNA
ERS6205387.bin.r.6	4	0.0381185185185185	Granehall2021	1187	ERS6205387	None	Phusion Hot Start High-Fidelity DNA
ERS6205387.bin.r.6	5	0.0289185185185185	Granehall2021	1187	ERS6205387	None	Phusion Hot Start High-Fidelity DNA
ERS6205388.bin.r.4	0	0.103306451612903	Granehall2021	1190	ERS6205388	None	Phusion Hot Start High-Fidelity DNA
ERS6205388.bin.r.4	1	0.078241935483871	Granehall2021	1190	ERS6205388	None	Phusion Hot Start High-Fidelity DNA
ERS6205388.bin.r.4	2	0.0530161290322581	Granehall2021	1190	ERS6205388	None	Phusion Hot Start High-Fidelity DNA
ERS6205388.bin.r.4	3	0.0427983870967742	Granehall2021	1190	ERS6205388	None	Phusion Hot Start High-Fidelity DNA
ERS6205388.bin.r.4	4	0.0349677419354839	Granehall2021	1190	ERS6205388	None	Phusion Hot Start High-Fidelity DNA
ERS6205388.bin.r.4	5	0.0275725806451613	Granehall2021	1190	ERS6205388	None	Phusion Hot Start High-Fidelity DNA
ERS6205390_24.0.refbinned	0	0.117972222222222	Granehall2021	1187	ERS6205390	None	Phusion Hot Start High-Fidelity DNA
ERS6205390_24.0.refbinned	1	0.0826977124183007	Granehall2021	1187	ERS6205390	None	Phusion Hot Start High-Fidelity DNA
ERS6205390_24.0.refbinned	2	0.0449640522875817	Granehall2021	1187	ERS6205390	None	Phusion Hot Start High-Fidelity DNA
ERS6205390_24.0.refbinned	3	0.0377401960784314	Granehall2021	1187	ERS6205390	None	Phusion Hot Start High-Fidelity DNA
ERS6205390_24.0.refbinned	4	0.0260228758169935	Granehall2021	1187	ERS6205390	None	Phusion Hot Start High-Fidelity DNA
ERS6205390_24.0.refbinned	5	0.024891339869281	Granehall2021	1187	ERS6205390	None	Phusion Hot Start High-Fidelity DNA
ERS6205391.bin.r.8	0	0.124855172413793	Granehall2021	1187	ERS6205391	None	Phusion Hot Start High-Fidelity DNA
ERS6205391.bin.r.8	1	0.112393103448276	Granehall2021	1187	ERS6205391	None	Phusion Hot Start High-Fidelity DNA
ERS6205391.bin.r.8	2	0.0884137931034483	Granehall2021	1187	ERS6205391	None	Phusion Hot Start High-Fidelity DNA
ERS6205391.bin.r.8	3	0.0790758620689655	Granehall2021	1187	ERS6205391	None	Phusion Hot Start High-Fidelity DNA
ERS6205391.bin.r.8	4	0.0675724137931035	Granehall2021	1187	ERS6205391	None	Phusion Hot Start High-Fidelity DNA
ERS6205391.bin.r.8	5	0.0555586206896552	Granehall2021	1187	ERS6205391	None	Phusion Hot Start High-Fidelity DNA
ERS6205392.bin.r.3	0	0.150700564971751	Granehall2021	1187	ERS6205392	None	Phusion Hot Start High-Fidelity DNA
ERS6205392.bin.r.3	1	0.130389830508475	Granehall2021	1187	ERS6205392	None	Phusion Hot Start High-Fidelity DNA
ERS6205392.bin.r.3	2	0.0625197740112994	Granehall2021	1187	ERS6205392	None	Phusion Hot Start High-Fidelity DNA
ERS6205392.bin.r.3	3	0.0469887005649718	Granehall2021	1187	ERS6205392	None	Phusion Hot Start High-Fidelity DNA
ERS6205392.bin.r.3	4	0.0347005649717514	Granehall2021	1187	ERS6205392	None	Phusion Hot Start High-Fidelity DNA
ERS6205392.bin.r.3	5	0.0280790960451977	Granehall2021	1187	ERS6205392	None	Phusion Hot Start High-Fidelity DNA
ERS6205394.bin.r.3	0	0.132302521008403	Granehall2021	1187	ERS6205394	None	Phusion Hot Start High-Fidelity DNA
ERS6205394.bin.r.3	1	0.131226890756303	Granehall2021	1187	ERS6205394	None	Phusion Hot Start High-Fidelity DNA
ERS6205394.bin.r.3	2	0.0717478991596639	Granehall2021	1187	ERS6205394	None	Phusion Hot Start High-Fidelity DNA
ERS6205394.bin.r.3	3	0.0568991596638655	Granehall2021	1187	ERS6205394	None	Phusion Hot Start High-Fidelity DNA
ERS6205394.bin.r.3	4	0.0444453781512605	Granehall2021	1187	ERS6205394	None	Phusion Hot Start High-Fidelity DNA
ERS6205394.bin.r.3	5	0.0338571428571429	Granehall2021	1187	ERS6205394	None	Phusion Hot Start High-Fidelity DNA
ERS6205395.bin.r.5	0	0.0869469026548673	Granehall2021	1187	ERS6205395	None	Phusion Hot Start High-Fidelity DNA
ERS6205395.bin.r.5	1	0.0718672566371681	Granehall2021	1187	ERS6205395	None	Phusion Hot Start High-Fidelity DNA
ERS6205395.bin.r.5	2	0.056787610619469	Granehall2021	1187	ERS6205395	None	Phusion Hot Start High-Fidelity DNA
ERS6205395.bin.r.5	3	0.0498318584070796	Granehall2021	1187	ERS6205395	None	Phusion Hot Start High-Fidelity DNA
ERS6205395.bin.r.5	4	0.0459026548672566	Granehall2021	1187	ERS6205395	None	Phusion Hot Start High-Fidelity DNA
ERS6205395.bin.r.5	5	0.0432743362831858	Granehall2021	1187	ERS6205395	None	Phusion Hot Start High-Fidelity DNA
ERS6205396.bin.r.4	0	0.0845806451612903	Granehall2021	1187	ERS6205396	None	Phusion Hot Start High-Fidelity DNA
ERS6205396.bin.r.4	1	0.0664354838709677	Granehall2021	1187	ERS6205396	None	Phusion Hot Start High-Fidelity DNA
ERS6205396.bin.r.4	2	0.0452016129032258	Granehall2021	1187	ERS6205396	None	Phusion Hot Start High-Fidelity DNA
